step,lambda
89056000,8.249736092053006
77678000,8.463344124923857
45079000,15.869064409849987
96756000,10.570280454545454
61914000,12.148876021407935
699000,14.348219322033886
9414000,14.97144434285713
12299000,14.744487175141229
84359000,4.892572853169637
79379000,7.582815477821425
57213000,5.585208635999994
45532000,15.994457054039398
50585000,23.139144705882366
56119000,14.49945494657007
2245000,15.201874090909078
23584000,17.54322102857141
25228000,18.5702594285714
29146000,19.701531609195378
54809000,1.297518256724142
48376000,21.901388235294128
27470000,19.563410588235264
59436000,2.8795364184117576
71298000,20.13350270270268
33508000,20.70258601398599
34610000,21.19299999999998
99520000,12.692527518248166
25625000,18.28763030303028
3174000,15.525669318181803
94376000,10.799861391335517
65982000,9.525884899342557
75968000,3.9695415007086554
26425000,18.67698505747123
24795000,17.694430919540206
93159000,10.56590307692308
26888000,18.83835852272724
27998000,19.530501714285684
79718000,7.327249289424453
46819000,21.90008481012659
58855000,2.8344877577108347
40786000,15.72572619047619
47030000,21.82369350649352
18255000,15.923334057142839
28475000,20.031497714285685
62085000,12.102889190579706
80724000,4.222205774422108
36945000,21.033305109489028
23209000,17.689112444444422
20788000,15.697886514285695
70669000,3.907741246818177
40667000,15.832017322834641
10540000,14.595602183908033
72158000,4.595423394626164
52562000,12.028767798768143
14149000,13.256421573432188
25042000,18.18053372093021
68954000,6.972680931666664
27948000,19.58395977011491
48686000,15.866033096448074
23494000,17.602835930232537
88335000,7.306222402252251
79152000,7.573331447275982
49336000,15.72132574426875
26264000,18.76402823529409
71918000,9.683042225316445
38026000,17.18487579628741
5213000,15.464089371428559
69008000,6.655020755326083
60378000,22.03207849514562
82465000,8.936747001371952
7494000,15.454466440677948
30637000,9.430287260154634
79282000,7.575671888156021
11114000,14.528899657142846
85093000,12.17206271385787
17499000,15.741533693181804
81276000,4.715377668297867
28168000,19.602819298245585
21417000,15.982821412429352
56305000,12.150261627601163
89392000,11.450819563590898
66379000,3.6177795908064465
93516000,11.322066223776224
16610000,10.14626603333333
38780000,16.31542589928057
14384000,13.995302430278862
69691000,4.9893074284234205
72780000,4.088623099064035
57911000,5.641852474304928
72584000,4.016641227142853
46050000,22.676259259259268
63183000,4.289476644677417
36830000,15.350021051948872
45798000,15.951267398866982
95676000,12.343641170413523
68932000,6.985592471726615
99155000,12.729029481481476
26611000,18.53155144508668
98334000,13.281374213366323
75893000,4.086936634843746
38103000,15.76397305516555
92701000,10.643228307304966
85049000,11.304222124974618
45701000,15.936194465198003
79003000,7.490800366596488
19041000,16.06533124999998
5091000,15.642863815028885
40479000,15.972476923076922
75528000,3.9765204639344205
80995000,4.722141339368418
76652000,4.815478873333331
87261000,11.174653575315789
15314000,9.471577453212431
99857000,12.475070373134324
46511000,22.411526506024106
7117000,15.528766327683597
6302000,15.421442937853088
11576000,14.355021136363623
61300000,12.292233392831537
86557000,11.065861298489585
83028000,6.668216032042251
81071000,5.400261535652168
41929000,20.832349557522118
71772000,18.668356105841095
43471000,13.158191297836538
84479000,4.942266556088883
60885000,11.826594227589924
4452000,15.899281363636348
49980000,22.9398741935484
58324000,5.639082644409085
44606000,15.778510459605897
68521000,3.9239203723776184
70332000,4.282539785454542
81810000,5.625250666315785
89446000,11.29982683859728
64230000,3.7575062122689027
29398000,19.483185555555533
58477000,3.389190839999992
62160000,12.247857774290901
19877000,15.872083448275845
29904000,14.184108501350588
16116000,9.520908370520829
42759000,21.311791144067804
66627000,4.039929926722682
74426000,13.818882503178807
16753000,10.998592859516124
16211000,9.580929933711335
49263000,15.92014791302519
78863000,5.195548018888885
43666000,14.591425948803817
61968000,12.45761013260869
54565000,1.0773933935593258
9981000,14.63730545454544
13658000,14.579744525139656
34447000,21.001528965517224
17617000,15.66681170454544
85534000,5.682625999583331
95743000,12.611020583657574
74855000,4.093918390661152
89248000,10.989338438264836
83740000,4.873032988416283
89904000,8.43025015846154
67099000,4.026806722061064
28824000,19.945070114942503
76688000,4.546109614296293
35758000,21.134024161073803
82110000,9.218721981735301
52368000,11.957999586762615
52873000,11.923936423914613
51741000,21.74951404958678
28417000,20.125245454545425
59762000,12.095573164668771
45825000,16.037997473024376
17119000,16.284793410404603
47574000,22.61173076923078
51179000,23.75744157303372
49912000,22.693036
91435000,9.022486380235849
75060000,3.892679059590159
19081000,16.213978305084726
66740000,3.9979837327999936
39247000,15.884012977099232
80744000,4.090033570050248
81668000,5.4537885035433025
93142000,10.681471488239438
99128000,12.723230357142853
88531000,7.340203979069763
